City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
207,Sept-Iles,CA,2019-11-10 05:51:59,50.2,-66.38,19.0,92,90,5.82,light snow,0.0,0.0
208,Robertsport,LR,2019-11-10 05:51:59,6.75,-11.37,81.1,77,63,6.58,light rain,2.88,0.0
209,Kavieng,PG,2019-11-10 05:52:00,-2.57,150.8,79.29,81,100,4.23,light rain,0.31,0.0
210,Bethel,US,2019-11-10 05:49:35,60.79,-161.76,26.6,85,1,10.29,clear sky,0.0,0.0
211,Catumbela,AO,2019-11-10 05:52:01,-12.43,13.55,80.6,83,90,6.4,overcast clouds,0.0,0.0
212,Salima,MW,2019-11-10 05:52:01,-13.78,34.45,80.94,60,65,9.53,broken clouds,0.0,0.0
213,Nelson Bay,AU,2019-11-10 05:52:01,-32.72,152.14,73.0,46,17,14.99,few clouds,0.0,0.0
214,Lebedinyy,RU,2019-11-10 05:52:02,58.52,125.52,19.71,93,100,3.74,light snow,0.0,0.44
215,Salalah,OM,2019-11-10 05:52:02,17.01,54.1,80.6,65,20,8.05,few clouds,0.0,0.0
216,La Ronge,CA,2019-11-10 05:52:03,55.1,-105.3,8.6,60,90,11.41,light snow,0.0,0.0
217,Saint George,GR,2019-11-10 05:52:04,39.45,22.34,55.4,93,40,4.7,scattered clouds,0.0,0.0
218,Nha Trang,VN,2019-11-10 05:52:04,12.24,109.19,73.4,100,90,13.87,light rain,0.0,0.0
219,Avera,US,2019-11-10 05:52:04,33.19,-82.53,41.0,51,1,3.36,clear sky,0.0,0.0
220,Malanje,AO,2019-11-10 05:52:05,-9.54,16.35,66.79,95,100,2.51,light rain,0.13,0.0
221,Discovery Bay,JM,2019-11-10 05:52:05,18.46,-77.4,80.6,78,20,2.24,few clouds,0.0,0.0
222,Bitung,ID,2019-11-10 05:52:06,1.44,125.19,86.0,62,20,6.93,few clouds,0.0,0.0
223,Cloquet,US,2019-11-10 05:52:06,46.72,-92.46,32.0,77,90,6.93,overcast clouds,0.0,0.0
224,Tanout,NE,2019-11-10 05:52:07,14.97,8.88,78.03,15,0,8.32,clear sky,0.0,0.0
225,Veglie,IT,2019-11-10 05:52:07,40.34,17.97,59.0,87,20,2.24,thunderstorm,0.0,0.0
226,Lishu,CN,2019-11-10 05:52:08,43.31,124.32,51.46,55,100,11.39,light rain,0.25,0.0
227,Ulladulla,AU,2019-11-10 05:50:20,-35.36,150.48,71.6,37,40,10.29,scattered clouds,0.0,0.0
228,Nanakuli,US,2019-11-10 05:52:09,21.39,-158.15,80.6,83,1,3.36,clear sky,0.0,0.0
229,Opuwo,NA,2019-11-10 05:52:09,-18.06,13.84,72.16,25,100,10.04,overcast clouds,0.0,0.0
